施設名,種別,管理運営機関,都道府県,市区町村,住所,電話番号,アドレス,Webサイト,担当部署,担当者,自主事業,状態,温度感,次回アクション,備考,補完状況,補完元,補完元URL
函館白百合学園中学校,私立中学校,私立,北海道,函館市,北海道函館市山の手２丁目６－３,0138-55-6682,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101320200235 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0418560 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/2/_/%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
函館白百合学園高等学校,私立高等学校,私立,北海道,函館市,北海道函館市山の手２丁目６－３,0138-55-6682,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320200135 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0418560 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
清尚学院高等学校,私立高等学校,私立,北海道,函館市,北海道函館市亀田本町５－１７,0138-41-6584,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320200153 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0410813 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
遺愛女子中学校,私立中学校,私立,北海道,函館市,北海道函館市杉並町２３－１１,0138-51-0418,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101320200226 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0408543 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/2/_/%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
遺愛女子高等学校,私立高等学校,私立,北海道,函館市,北海道函館市杉並町２３―１１,0138-51-0418,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320200126 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0408543 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
札幌日本大学中学校,私立中学校,私立,北海道,北広島市,北海道北広島市虹ヶ丘５丁目７番地１,011-375-5311,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101323400102 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0611103 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/2/_/%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
札幌日本大学高等学校,私立高等学校,私立,北海道,北広島市,北海道北広島市虹ヶ丘５丁目７番地１,011-375-2614,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101323400100 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0611103 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
北見藤高等学校,私立高等学校,私立,北海道,北見市,北海道北見市三楽町２１３番地,0157-23-3212,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320800102 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0908642 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
日本航空高等学校北海道,私立高等学校,私立,北海道,千歳市,北海道千歳市泉沢１００７－９５,0123-28-1155,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101322400031 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0668622 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
まおい学びのさと中学校,私立中学校,私立,北海道,夕張郡長沼町,北海道夕張郡長沼町東２線北１５番地,0123-76-7660,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101342800019 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0691317 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/2/2/4/3/6/6/_/%E7%A7%81%E7%AB%8B%E5%B0%8F%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
まおい学びのさと小学校,私立小学校,私立,北海道,夕張郡長沼町,北海道夕張郡長沼町東２線北１５番地,0123-76-7660,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B101342800011 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 0691317 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/2/2/4/3/6/6/_/%E7%A7%81%E7%AB%8B%E5%B0%8F%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
北海道大谷室蘭高等学校,私立高等学校,私立,北海道,室蘭市,北海道室蘭市八丁平３丁目１番１号,0143-44-5641,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320500105 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0500061 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
海星学院中学校,私立中学校,私立,北海道,室蘭市,北海道室蘭市高砂町３－７－７,0143-46-8888,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101320500107 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0500072 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/2/_/%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
海星学院高等学校,私立高等学校,私立,北海道,室蘭市,北海道室蘭市高砂町３－７－７,0143-46-8888,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320500114 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0500072 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
北照高等学校,私立高等学校,私立,北海道,小樽市,北海道小樽市最上２丁目５－１,0134-32-0331,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320300107 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0478558 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
双葉中学校,私立中学校,私立,北海道,小樽市,北海道小樽市住ノ江１丁目３番３号,0134-31-5000,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101320300207 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0470014 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/2/_/%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
小樽双葉高等学校,私立高等学校,私立,北海道,小樽市,北海道小樽市住ノ江１丁目３－１７,0134-32-1828,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320300116 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0470014 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
小樽明峰高等学校,私立高等学校,私立,北海道,小樽市,北海道小樽市最上１－１４－１７,0134-22-7755,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320300125 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0478586 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
帯広北高等学校,私立高等学校,私立,北海道,帯広市,北海道帯広市稲田町基線８番地２,0155-47-0121,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320700112 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0800833 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
帯広大谷高等学校,私立高等学校,私立,北海道,帯広市,北海道帯広市西１９条南４丁目３５番１号,0155-33-5813,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320700103 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0802469 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
北海道文教大学附属高等学校,私立高等学校,私立,北海道,恵庭市,北海道恵庭市黄金中央５丁目２０７番地１１,0123-25-5570,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101310600114 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0611449 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
旭川実業高等学校,私立高等学校,私立,北海道,旭川市,北海道旭川市末広８－１,0166-51-1246,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320400115 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0718138 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
旭川志峯高等学校,私立高等学校,私立,北海道,旭川市,北海道旭川市永山７条１６丁目３－１６,0166-48-1221,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320400106 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0798505 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
旭川明成高等学校,私立高等学校,私立,北海道,旭川市,北海道旭川市緑町１４丁目２９０８,0166-51-3220,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320400142 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0700823 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
旭川藤星高等学校,私立高等学校,私立,北海道,旭川市,北海道旭川市花咲町６丁目３８９９,0166-51-8125,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320400133 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0700901 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
旭川龍谷高等学校,私立高等学校,私立,北海道,旭川市,北海道旭川市東旭川町共栄１５－２,0166-39-2700,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320400124 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0788340 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
北星学園女子中学校,私立中学校,私立,北海道,札幌市中央区,北海道札幌市中央区南４条西１７丁目２番２号,011-561-7153,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101310100013 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0648523 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/2/_/%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
北星学園女子高等学校,私立高等学校,私立,北海道,札幌市中央区,北海道札幌市中央区南４条西１７丁目２番２号,011-561-7153,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101310100100 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0648523 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
札幌静修高等学校,私立高等学校,私立,北海道,札幌市中央区,北海道札幌市中央区南１６条西６丁目２－１,011-521-0234,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101310100119 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0640916 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
札幌龍谷学園高等学校,私立高等学校,私立,北海道,札幌市中央区,北海道札幌市中央区北４条西１９丁目１ー２,011-631-4386,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101310100128 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0600004 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
札幌三育小学校,私立小学校,私立,北海道,札幌市北区,北海道札幌市北区拓北４条１丁目１４－１,011-773-2608,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B101310200014 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 0028064 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/2/2/4/3/6/6/_/%E7%A7%81%E7%AB%8B%E5%B0%8F%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
札幌創成高等学校,私立高等学校,私立,北海道,札幌市北区,北海道札幌市北区北２９条西２丁目１－１,011-726-1578,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101310200118 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0010029 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
藤女子中学校,私立中学校,私立,北海道,札幌市北区,北海道札幌市北区北１６条西２丁目１－２,011-707-5001,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101310200012 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0010016 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/2/_/%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
藤女子高等学校,私立高等学校,私立,北海道,札幌市北区,北海道札幌市北区北１６条西２丁目１－２,011-707-5001,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101310200109 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0010016 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
